COMMENTS,Label
67 பக்கங்கள் கொண்ட புத்தகம் நல்ல தகவல்களுடன் மட்டுமே உள்ளது,Positive
படிக்க எளிதானது,Positive
விலை மிக அதிகம்,negative
வீண் செலவு,negative
முற்றிலும் சிறந்தது,Positive
வேகமாக சார்ஜ் ஆகிறது,Positive
பொருள் சிறந்தது மற்றும் வசதியானது,Positive
தயாரிப்பு விநியோகம் மிகவும் தாமதமானது,negative
நல்ல தகவல்,Positive
நான் இந்த புத்தகத்தை கடுமையாக பரிந்துரைக்கிறேன்,Positive
"புத்தகம் மிகவும் பயனுள்ளதாக இருக்கிறது,",Positive
புத்தகம் நன்றாக எழுதப்பட்டுள்ளது,Positive
புரிந்துகொள்ள எளிதானது,Positive
அழகான புத்தகம்,Positive
ஒலி ஆச்சரியமாக இருக்கிறது,Positive
நீடித்த தரம் இல்லை,negative
தவறான நிறம்,negative
பொருந்தவில்லை,negative
கேபிள்கள் சுருக்கமாக உள்ளன,negative
அதை பயன்படுத்த முடியாது,negative
இந்த கேமராவை முற்றிலும் விரும்புகிறேன்,Positive
உண்மையில் மலிவு,Positive
மோசமான தயாரிப்பு,negative
இதை வாங்க வேண்டாம்,negative
கீறல் காவலில் ஏற்கனவே கீறல்கள் இருந்தன,negative
மென்மையானதாக இல்லை,Positive
சரியான பொருத்தம்,Positive
சிறப்பானது,Positive
1% கூட வேலை செய்யவில்லை,Positive
வாசனை நல்லது,Positive
பயங்கரமான மறுபெயரிடுதல்.,negative
நம்பகமானதல்ல,negative
மிக மோசமான கேமரா படத்தின் தரம்,negative
"விரல் வாசிப்பு மிகவும் மெதுவாக உள்ளது,",negative
குறைந்த தரமான தயாரிப்பு,negative
சிறந்த தெளிவான குரல் தரம்,Positive
பணப்பை சரியாக பொருந்துகிறது,Positive
சமாளிக்கக்கூடியது,Positive
இது நீடித்தது,Positive
படத்தின் தரம் நன்றாக இருக்கலாம்,Positive
அது நீண்ட காலம் நீடிக்கவில்லை,negative
பார்சல் தொலைந்தது,negative
பின்னர் அது இயங்காது!,negative
நான் மிகவும் பரிந்துரைக்கிறேன்,Positive
விலை மதிப்பு இல்லை,negative
மலிவான விளையாட்டு ஜிம்கள் மற்றும் பாய்கள்.,Positive
இந்த வாங்குதலில் நான் மிகவும் மகிழ்ச்சியடைகிறேன்,Positive
"வெவ்வேறு கற்றல் கூறுகள், இழைமங்கள், வண்ணங்கள் போன்றவற்றைப் பற்றி மிகவும் வேண்டுமென்றே.",Positive
உயர்தர பொருட்கள்,Positive
பயன்படுத்த எளிதானது,Positive
போலி ஏர்போடுகள்,negative
குறைந்த பேட்டரி ஆயுள்,negative
ஒலி மிகவும் சத்தமாக,Positive
இந்த நான் அங்கீகரிக்கிறேன்.,Positive
 அளவு திருப்தி,Positive
மிகவும் ஏமாற்றம்,negative
சரியான பொருத்தம் மற்றும் அங்கு சுவாசிக்கக்கூடியது,Positive
 சூடான மற்றும் மென்மையான சட்டை,Positive
பல நல்ல நிறங்கள்,Positive
அது சூடாகவும் வசதியாகவும் உணர்கிறது,Positive
சரியாக நான் தேடிக்கொண்டிருந்தேன்,Positive
நெக்லைன் மிகவும் குறைவாக உள்ளது,negative
வசதியான,Positive
எதிர்பார்ப்புக்கு கீழே,negative
"பெரிய, நன்றாக செய்யப்பட்ட பள்ளி பை",Positive
"ஜிப்பர்கள் மென்மையானதாக உணர்ந்தன, .",Positive
எந்த சிக்கலும் இல்லை,Positive
அது சற்று வளைந்து சீரற்றது,negative
பயன்படுத்த மற்றும் அணிய எளிதானது.,Positive
